10;Command {0} failed;;Critical;
1001;Motor stall;;Critical;
1002;Sensor abnormal;;Critical;
1003;Emergency stop;;Critical;
1004;Command error;;Critical;
1005;Communication error;;Critical;
1006;Chucking sensor abnormal;;Critical;
1008;Obstacle detection sensor error;;Critical;
1009;Second origin sensor abnormal;;Critical;
1010;Mapping sensor abnormal;;Critical;
1011;Wafer protrusion detecting sensor abnormal;;Critical;
1014;Driver abnormal;;Critical;
1032;Control power abnormal;;Critical;
1033;Driver power abnormal;;Critical;
1034;EEPROM abnormal;;Critical;
1035;Z search error;;Critical;
1036;Overheat;;Critical;
1037;Overcurrent;;Critical;
1038;Motor cable abnormal;;Critical;
1039;Motor stall (position deviation);;Critical;
1040;Motor stall (time over);;Critical;
1137;Exhaust fan abnormal;;Critical;
1146;FOUP clamp/rotation disabled;;Critical;
1147;FOUP unclamp/rotation disabled;;Critical;
1148;Latch key lock disabled;;Critical;
1150;Latch key release disabled;;Critical;
1151;Mapping sensor preparation disabled;;Critical;
1152;Mapping sensor containing disabled;;Critical;
1153;Chucking on disabled;;Critical;
1154;Wafer protrusion;;Critical;
1155;No door on FOUP/With door on FOSB;;Critical;
1156;Carrier improperly taken;;Critical;
1157;FOSB door detection;;Critical;
1158;Carrier improperly placed;;Critical;
1159;Carrier detection error;;Critical;
1160;Cover lock disabled;;Critical;
1161;Cover unlock disabled;;Critical;
