10;Command {0} failed;;Critical;
1001;Motor stall;;Critical;
1002;Limit;;Critical;
1003;Position error;;Critical;
1004;Command error;;Critical;
1005;Communication error;;Critical;
1006;Abnormal sensor;;Critical;
1007;Driver EMS error;;Critical;
1008;Substrate dropped error;;Critical;
1014;Abnormal driver;;Critical;
1015;Abnormal drive power;;Critical;
1016;Abnormal control power;;Critical;
1019;Abnormal temperature of driver;;Critical;
1020;Driver FPGA error;;Critical;
1021;Motor wire broken;;Critical;
1022;Motor over load;;Critical;
1023;Motor motion start error;;Critical;
1024;Abnormal alignment sensor;;Critical;
1025;Abnormal exhaust FAN state;;Critical;
1026;Alignment sensor detects obstacle;;Critical;
1064;Internal error (abnormal device driver);;Critical;
1065;Internal error (abnormal driver control);;Critical;
1066;Internal error (task start failed);;Critical;
1069;Reading setting data failed;;Critical;
1131;Origin search failed;;Critical;
1132;Chucking error;;Critical;
1144;Notch detection error;;Critical;
1145;Alignment sensor detects obstacle;;Critical;
1146;Retry over (alignment failed);;Critical;
