10;Command {0} failed;;Critical;
1001;Processing timeout;;Critical;
1002;Multi-drop communication abnormal;;Critical;
1003;Emergency stop;;Critical;
1004;Internal system error;;Critical;
1005;Communication error;;Critical;
1013;FPGA error;;Critical;
1069;Setting data reading error;;Critical;
1080;Function code error;;Critical;
1081;Improper register No. error;;Critical;
1082;Improper number error;;Critical;
1083;Data setting error;;Critical;
1084;Writing mode error;;Critical;
1085;Writing error while main circuit voltage is lowered;;Critical;
